Threads,Run1,Run2,Run3,Run4,Run5
2,0.13,0.12,0.13,0.12,0.12
4,0.12,0.12,0.12,0.12,0.12
8,0.12,0.12,0.12,0.12,0.12
16,0.13,0.13,0.13,0.13,0.13
32,0.23,0.24,0.24,0.25,0.22
