Threads,Run1,Run2,Run3,Run4,Run5
2,0.01,0.01,0.01,0.01,0.01
4,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00
