Threads,Run1,Run2,Run3,Run4,Run5
2,6.67,7.03,6.51,6.63,6.47
4,6.41,6.88,6.70,6.80,6.53
8,7.04,7.20,7.44,7.21,7.14
16,16.02,17.96,16.89,18.14,16.23
32,33.67,40.05,47.39,42.73,39.82
