Threads,Run1,Run2,Run3,Run4,Run5
2,1.53,1.74,1.59,1.70,1.85
4,4.59,4.75,4.93,4.46,5.87
8,17.79,16.41,16.15,17.69,15.91
16,36.60,29.97,30.37,32.52,34.67
32,71.54,67.66,48.57,48.55,48.08
