Threads,Run1,Run2,Run3,Run4,Run5
2,0.16,0.14,0.14,0.14,0.17
4,0.10,0.09,0.08,0.11,0.08
8,0.05,0.06,0.05,0.05,0.05
16,0.04,0.04,0.04,0.04,0.04
32,0.05,0.04,0.04,0.05,0.05
