Threads,Run1,Run2,Run3,Run4,Run5
2,0.53,0.53,0.53,0.52,0.53
4,0.27,0.26,0.28,0.27,0.26
8,0.13,0.13,0.13,0.13,0.13
16,0.12,0.12,0.12,0.12,0.12
32,0.15,0.16,0.18,0.16,0.17
