Threads,Run1,Run2,Run3,Run4,Run5
2,0.54,0.53,0.52,0.53,0.52
4,0.26,0.26,0.27,0.26,0.26
8,0.21,0.14,0.15,0.15,0.15
16,0.13,0.13,0.12,0.12,0.13
32,0.13,0.13,0.13,0.13,0.13
