Threads,Run1,Run2,Run3,Run4,Run5
2,0.40,0.40,0.41,0.41,0.40
4,0.85,0.80,0.85,0.79,0.79
8,2.36,2.33,2.45,2.47,2.36
16,6.47,6.45,6.57,6.58,6.61
32,12.02,12.35,12.72,12.59,12.61
