Threads,Run1,Run2,Run3,Run4,Run5
2,0.02,0.02,0.03,0.02,0.02
4,0.15,0.13,0.14,0.14,0.14
8,0.14,0.14,0.15,0.13,0.13
16,0.18,0.18,0.17,0.17,0.16
32,0.15,0.15,0.16,0.14,0.16
