Threads,Run1,Run2,Run3,Run4,Run5
2,0.39,0.40,0.41,0.39,0.38
4,0.78,0.81,0.77,0.77,0.77
8,2.35,2.35,2.37,2.31,2.45
16,6.56,6.62,6.67,6.39,6.46
32,12.62,12.53,12.57,12.55,12.54
